#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
C1|DG01||BHZ|-33.4563|-70.6624|609.0|0.0||-90.0|CMG-40T, 30 s, 800 V/m/s-Q330SR, gain 1, 100 sps,|501719000.0|0.2|m/s|40.0|2013-06-07T00:00:00|2015-02-16T12:40:39
C1|DG06||BHE|-33.4785|-70.527298|825.0|0.0|90.0|0.0|trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|313643000.0|0.4|M/S|40.0|2013-08-05T00:00:00|2014-10-02T00:00:00
C1|DG06||BHN|-33.4785|-70.527298|825.0|0.0|0.0|0.0|trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|313643000.0|0.4|M/S|40.0|2013-08-05T00:00:00|2014-10-02T00:00:00
C1|DG06||BHZ|-33.4563|-70.6624|609.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-06-07T00:00:00|2015-12-11T08:48:49
C1|DG11||BHE|-33.5341|-70.584396|663.2|0.0|90.0|0.0|trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|313643000.0|0.4|M/S|40.0|2013-09-25T00:00:00|2014-04-02T00:00:00
C1|DG11||BHN|-33.5341|-70.584396|663.2|0.0|0.0|0.0|trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|313643000.0|0.4|M/S|40.0|2013-09-25T00:00:00|2014-04-02T00:00:00
C1|DG11||BHZ|-33.5341|-70.584396|663.2|0.0|0.0|-90.0|trillium_compact_OBS_SIO/Quanterra 330 Linear Phas|313643000.0|0.4|M/S|40.0|2013-09-25T00:00:00|2014-04-02T00:00:00
C1|IN41||BHZ|-30.00262|-71.315685|171.0|0.0||-90.0|Trillium Compact, 120 s, 754 V/m/s-Q330SR, gain 1,|316282000.0|0.05|m/s|40.0|2018-06-13T00:00:00|
C1|ME03||BHE|-33.4936|-70.5102|1087.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-07-10T00:00:00|2014-04-22T23:59:59
C1|ME03||BHN|-33.4936|-70.5102|1087.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-07-10T00:00:00|2014-04-22T23:59:59
C1|ME03||BHZ|-33.4936|-70.5102|1087.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-07-10T00:00:00|2014-04-22T23:59:59
C1|ME05||BHE|-33.3919|-70.7381|765.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-10-22T00:00:00|2014-04-10T14:19:20
C1|ME05||BHN|-33.3919|-70.7381|765.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-10-22T00:00:00|2014-04-10T14:19:20
C1|ME05||BHZ|-33.3919|-70.7381|765.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-10-22T00:00:00|2014-04-10T14:19:20
C1|ME06||BHE|-33.3404|-70.6428|616.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2013-10-29T00:00:00|2013-12-31T15:05:48
C1|ME06||BHN|-33.3404|-70.6428|616.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2013-10-29T00:00:00|2013-12-31T15:05:48
C1|ME06||BHZ|-33.3404|-70.6428|616.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2013-10-29T00:00:00|2013-12-31T15:05:48
C1|MT01||BHE|-33.8641|-71.2509|310.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-14T00:00:00|
C1|MT01||BHN|-33.8641|-71.2509|310.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-14T00:00:00|
C1|MT01||BHZ|-33.8641|-71.2509|310.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-14T00:00:00|
C1|MT02||BHE|-33.2591|-71.1377|323.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-15T00:00:00|
C1|MT02||BHN|-33.2591|-71.1377|323.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-15T00:00:00|
C1|MT02||BHZ|-33.2591|-71.1377|323.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-01-15T00:00:00|
C1|MT03||BHE|-33.4936|-70.5102|1087.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-04-22T00:00:00|
C1|MT03||BHN|-33.4936|-70.5102|1087.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-04-22T00:00:00|
C1|MT03||BHZ|-33.4936|-70.5102|1087.0|0.0||-90.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2014-04-22T00:00:00|
C1|MT04||BHE|-33.466388|-70.136194|1922.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-01-26T00:00:00|
C1|MT04||BHN|-33.466388|-70.136194|1922.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-01-26T00:00:00|
C1|MT04||BHZ|-33.466388|-70.136194|1922.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-01-26T00:00:00|
C1|MT05||BHE|-33.3919|-70.7381|765.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-04-10T00:00:00|
C1|MT05||BHN|-33.3919|-70.7381|765.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-04-10T00:00:00|
C1|MT05||BHZ|-33.3919|-70.7381|765.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2014-04-10T00:00:00|
C1|MT07||BHE|-32.975956|-71.015636|2234.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-01-10T00:00:00|
C1|MT07||BHN|-32.975956|-71.015636|2234.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-01-10T00:00:00|
C1|MT07||BHZ|-32.975956|-71.015636|2234.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-01-10T00:00:00|
C1|MT08||BHE|-33.405158|-70.133366|2045.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-01T00:00:00|
C1|MT08||BHN|-33.405158|-70.133366|2045.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-01T00:00:00|
C1|MT08||BHZ|-33.405158|-70.133366|2045.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-01T00:00:00|
C1|MT09||BHE|-33.77622|-70.98867|1371.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-15T00:00:00|
C1|MT09||BHN|-33.77622|-70.98867|1371.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-15T00:00:00|
C1|MT09||BHZ|-33.77622|-70.98867|1371.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-15T00:00:00|
C1|MT10||BHE|-33.27279|-70.53723|1410.0|1.5|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-01-27T00:00:00|
C1|MT10||BHN|-33.27279|-70.53723|1410.0|1.5|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-01-27T00:00:00|
C1|MT10||BHZ|-33.27279|-70.53723|1410.0|1.5||-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-01-27T00:00:00|
C1|MT12||BHE|-33.73273|-70.54869|727.1|2.5|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|20.0|2017-01-27T00:00:00|
C1|MT12||BHN|-33.73273|-70.54869|727.1|2.5|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|20.0|2017-01-27T00:00:00|
C1|MT12||BHZ|-33.73273|-70.54869|727.1|2.5||-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|20.0|2017-01-27T00:00:00|
C1|MT13||BHE|-33.7435|-70.28609|1198.6|2.5|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-03T00:00:00|
C1|MT13||BHN|-33.7435|-70.28609|1198.6|2.5|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-03T00:00:00|
C1|MT13||BHZ|-33.7435|-70.28609|1198.6|2.5||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-02-03T00:00:00|
C1|MT14||BHE|-33.39573|-70.536232|855.5|0.0|90.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-08-17T00:00:00|
C1|MT14||BHN|-33.39573|-70.536232|855.5|0.0|0.0|0.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-08-17T00:00:00|
C1|MT14||BHZ|-33.39573|-70.536232|855.5|0.0||-90.0|STS-2.5, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-08-17T00:00:00|
C1|MT15||BHE|-33.599397|-70.506261|784.4|1.6|90.0|0.0|Trillium 120Q, 120 s, 1202 V/m/s-Q330S+, gain 1, 1|503831000.0|0.05|m/s|40.0|2017-10-20T16:28:13|
C1|MT15||BHN|-33.599397|-70.506261|784.4|1.6|0.0|0.0|Trillium 120Q, 120 s, 1202 V/m/s-Q330S+, gain 1, 1|503831000.0|0.05|m/s|40.0|2017-10-20T16:28:13|
C1|MT15||BHZ|-33.599397|-70.506261|784.4|1.6||-90.0|Trillium 120Q, 120 s, 1202 V/m/s-Q330S+, gain 1, 1|503831000.0|0.05|m/s|40.0|2017-10-20T16:28:13|
C1|MT16||BHE|-33.42848|-70.523351|780.0|100.0|90.0|0.0|STS-5A, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-12-05T00:00:00|
C1|MT16||BHN|-33.42848|-70.523351|780.0|100.0|0.0|0.0|STS-5A, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-12-05T00:00:00|
C1|MT16||BHZ|-33.42848|-70.523351|780.0|100.0||-90.0|STS-5A, 120s, 1500 V/m/s-Q330S+, gain 1, 100 sps,|629145000.0|0.05|m/s|40.0|2017-12-05T00:00:00|
C1|MT17||BHE|-33.549285|-70.283749|1107.2|1.7|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330S+, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-12-12T00:00:00|
C1|MT17||BHN|-33.549285|-70.283749|1107.2|1.7|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330S+, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-12-12T00:00:00|
C1|MT17||BHZ|-33.549285|-70.283749|1107.2|1.7||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330S+, gain 1, 1|501420000.0|0.05|m/s|40.0|2017-12-12T00:00:00|
C1|MT18||BHE|-33.4631|-70.66439|525.0|2.0|90.0|0.0|Trillium 40, 40 s, 1553 V/m/s-Q330SR, gain 1, 100|632140000.0|0.05|m/s|40.0|2018-03-07T12:00:00|
C1|MT18||BHN|-33.4631|-70.66439|525.0|2.0|0.0|0.0|Trillium 40, 40 s, 1553 V/m/s-Q330SR, gain 1, 100|632140000.0|0.05|m/s|40.0|2018-03-07T12:00:00|
C1|MT18||BHZ|-33.4631|-70.66439|525.0|2.0||-90.0|Trillium 40, 40 s, 1553 V/m/s-Q330SR, gain 1, 100|632140000.0|0.05|m/s|40.0|2018-03-07T12:00:00|
C1|VA01||BHE|-33.022813|-71.647523|75.6|0.0|90.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-09-05T00:00:00|
C1|VA01||BHN|-33.022813|-71.647523|75.6|0.0|0.0|0.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-09-05T00:00:00|
C1|VA01||BHZ|-33.022813|-71.647523|75.6|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Quanterra 33|501719000.0|0.2|m/s|40.0|2013-09-05T00:00:00|
C1|VA03||BHE|-32.7637|-70.5508|1053.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-11-28T00:00:00|
C1|VA03||BHN|-32.7637|-70.5508|1053.0|0.0|0.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-11-28T00:00:00|
C1|VA03||BHZ|-32.7637|-70.5508|1053.0|0.0||-90.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501719000.0|0.2|m/s|40.0|2013-11-28T00:00:00|
C1|VA05||BHE|-33.65711|-71.61428|80.0|0.0|90.0|0.0|Trillium 120P, 120 s, 1201 V/m/s-Q330SR, gain 1, 1|501420000.0|0.05|m/s|40.0|2014-10-22T00:00:00|2020-06-10T19:00:00
